Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,23.377,..,..,..,36.95639,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,40.72569,..,..,..,54.21079,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,13.71896,..,..,..,24.07906,..,..,..,..,..,..,..,..,..
Albania,ALB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,64.52068,..,..,..,..,..,..,..,93.65541,..,..,..,..,..,..,..
Albania,ALB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,98.19074,..,..,..,..,..,..,..,94.95685,..,..,..,..,..,..,..
Albania,ALB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,48.16764,..,..,..,..,..,..,..,80.31211,..,..,..,..,..,..,..
Algeria,DZA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,56.50295,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,94.24063,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,29.42439,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
