"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","54.48","SOURCE: Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","44.24","SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","59.96","SOURCE: Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","97.43","SOURCE: Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","95.80","SOURCE: Argentina EPH 2013 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","95.90","SOURCE: Argentina EPH 2014 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","96.10","SOURCE: Argentina EPH 2016 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","96.20","SOURCE: Argentina EPH 2017 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","96.20","SOURCE: Argentina EPH 2018 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","96.30","SOURCE: Argentina EPH 2019 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","96.30","SOURCE: Argentina EPH 2020 (GEMR)."
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","99.27","SOURCE: Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.63","SOURCE: Armenia ILCS 2018 (GEMR)."
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","99.02","SOURCE: Australia SIH 2014 (GEMR)."
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","98.98","SOURCE: Australia SIH 2016 (GEMR)."
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.57","SOURCE: Australia SIH 2018 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","99.08","SOURCE: Austria EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","99.16","SOURCE: Austria EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","99.13","SOURCE: Austria EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","99.15","SOURCE: Austria EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","98.96","SOURCE: Austria EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","98.72","SOURCE: Austria EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","98.58","SOURCE: Austria EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","98.61","SOURCE: Austria EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","98.99","SOURCE: Austria EU-LFS 2021 (GEMR)."
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","50.14","SOURCE: Burundi DHS 2016-17. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","97.70","SOURCE: Belgium EU-LFS 2021 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","57.00","SOURCE: Benin Census 2013 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","54.12","SOURCE: Benin MICS 2014. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","51.83","SOURCE: Benin DHS 2017-18. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","61.40","SOURCE: Benin EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","51.97","SOURCE: Benin MICS 2021-22. The survey collected data on school attendance for age 3-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Burkina Faso","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","65.92","SOURCE: Burkina Faso EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Burkina Faso","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","60.26","SOURCE: Burkina Faso DHS 2021.  The survey collected data on school attendance for age 4-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","72.23","SOURCE: Bangladesh MICS 2013 (GEMR)."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","80.01","SOURCE: Bangladesh DHS 2014. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","82.61","SOURCE: Bangladesh MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","98.51","SOURCE: Bulgaria EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","97.52","SOURCE: Bulgaria EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","98.33","SOURCE: Bulgaria EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","98.05","SOURCE: Bulgaria EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","98.41","SOURCE: Bulgaria EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","98.17","SOURCE: Bulgaria EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","97.61","SOURCE: Bulgaria EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","99.00","SOURCE: Bulgaria EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","100.00","SOURCE: Belarus MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","96.18","SOURCE: Belize MICS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","95.59","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","93.18","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","96.94","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","96.37","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","97.31","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","97.32","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
