year,country,team_size_all,team_size_male,team_size_female,p1,p2,p3,p4,p5,p6,p7,awards_gold,awards_silver,awards_bronze,awards_honorable_mentions,leader,deputy_leader,total_score,average_score_per_contestant,medal_Efficiency,Country Code,Value_gross_enr_ratio_for_tertirary_edu,Value_gov_expen_as_perc_of_GPP,Value_literacy_rate,Region,Income Group,Gov_Investment_Per_Medal,Lit_Performance_Ratio,SE.TER.GRAD.SC.ZS,IT.NET.USER.P2,SL.TLF.ADVN.ZS,UIS.X.US.FSGOV,UIS.X.USCONST.FSGOV,NY.GDP.PCAP.CD,SE.XPD.TOTL.GB.ZS,SE.XPD.CUR.TOTL.ZS,OECD.TSAL.1.E10
2019,People's Republic of China,6,6,NA,40,41,27,41,42,36,NA,6,0,0,0,Bin Xiong,Yijie He,227,37.833333333333336,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,United States of America,6,6,NA,42,40,26,42,42,35,NA,6,0,0,0,Po-Shen Loh,Yang Liu,227,37.833333333333336,1,NA,87.89,4.96,NA,North America,High income: OECD,0.8266666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Republic of Korea,6,6,NA,42,39,31,42,42,30,NA,6,0,0,0,Yongjin Song,Suyoung Choi,226,37.666666666666664,1,NA,94,4.68,98.68928,East Asia & Pacific,High income: OECD,0.7799999999999999,2.6200693805309734,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Democratic People's Republic of Korea,6,6,NA,41,41,17,42,42,4,NA,3,3,0,0,Jin Hyok Kim,Jong Min Ri,187,31.166666666666668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Thailand,6,6,NA,42,35,5,42,40,21,NA,3,3,0,0,Pongpol Ruankong,Teeradej Kittipassorn,185,30.833333333333332,1,THA,45.44,3.02,98.52,NA,NA,0.5033333333333333,3.1952432432432434,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Russian Federation,6,6,NA,39,40,17,35,42,6,NA,2,4,0,0,Pavel Kozhevnikov,Kirill Sukhov,179,29.833333333333332,1,RUS,80.95,3.7,99.68487,Europe & Central Asia,High income: nonOECD,0.6166666666666667,3.3413922905027937,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Vietnam,6,6,NA,39,31,10,40,42,15,NA,2,4,0,0,Anh Vinh Le,Ba Khanh Trinh Le,177,29.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Singapore,6,6,NA,42,30,13,40,42,7,NA,2,4,0,0,Jeffrey Chin How Pang,Zenghui Chen,174,29,1,SGP,91.09,2.73,100,East Asia & Pacific,High income: nonOECD,0.455,3.4482758620689653,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Serbia,6,5,1,42,26,19,31,37,16,NA,3,1,2,0,Marko Radovanović,Bojan Bašić,171,28.5,1,SRB,69.04,3.62,100,Europe & Central Asia,Upper middle income,0.6033333333333334,3.508771929824561,4.48763,NA,NA,NA,NA,NA,NA,NA,NA
2019,Poland,6,5,1,42,28,9,40,42,7,NA,1,3,2,0,Tomasz Cieśla,Łukasz Bożyk,168,28,1,POL,70.91,4.68,99.68487,Europe & Central Asia,High income: OECD,0.7799999999999999,3.560173928571429,NA,NA,NA,NA,NA,NA,NA,NA,22823.2477202038
2019,Hungary,6,6,NA,41,19,14,42,42,7,NA,1,3,2,0,József Pelikán,Sándor Dobos,165,27.5,1,HUN,52.36,4.22,99.68487,Europe & Central Asia,Upper middle income,0.7033333333333333,3.624904363636363,NA,NA,NA,NA,NA,NA,NA,NA,19448.9471544085
2019,Ukraine,6,6,NA,42,33,5,42,40,3,NA,1,4,1,0,Bogdan Rublov,Andrii Pankov,165,27.5,1,UKR,84.48,5.44,99.68487,Europe & Central Asia,Lower middle income,0.9066666666666668,3.624904363636363,3.78914,NA,NA,NA,NA,NA,NA,NA,NA
2019,Japan,6,6,NA,42,32,8,31,42,7,NA,2,2,2,0,Takahiko Fujita,Keiko Tasaki,162,27,1,JPN,62.12,3.16,98.68928,East Asia & Pacific,High income: OECD,0.5266666666666667,3.6551585185185185,NA,NA,NA,NA,NA,NA,NA,NA,41861.1968854813
2019,Indonesia,6,6,NA,40,38,1,40,35,6,NA,1,4,1,0,Aleams Barra,Budi Surodjo,160,26.666666666666668,1,IDN,37.93,0.96,98.68928,East Asia & Pacific,Lower middle income,0.16,3.700848,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,India,6,6,NA,42,32,7,41,33,1,NA,1,4,0,1,C. R. Pranesachar,Vinayak Madhav Sholapurkar,156,26,0.8333333333333334,IND,29.02,3.9,89.95697,South Asia,Lower middle income,0.78,3.4598834615384613,16.02251,NA,NA,NA,NA,NA,NA,NA,NA
2019,Israel,6,6,NA,42,19,18,34,42,1,NA,1,3,2,0,Dan Carmon,Shachar Carmeli,156,26,1,ISR,55.94,6.04,90.11926,Middle East & North Africa,High income: OECD,1.0066666666666666,3.4661253846153843,NA,NA,NA,NA,NA,NA,NA,NA,28728.2639536177
2019,Romania,6,6,NA,42,30,7,42,32,2,NA,1,2,3,0,Cătălin-Liviu Gherghe,Mihai Chiș,155,25.833333333333332,1,ROU,52.44,3.57,99.68487,Europe & Central Asia,Upper middle income,0.595,3.858769161290323,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Australia,6,6,NA,42,28,13,37,33,1,NA,2,1,3,0,Angelo Di Pasquale,Sampson Wong,154,25.666666666666668,1,AUS,109.76,5.51,NA,NA,NA,0.9183333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,64926.2332684787
2019,Bulgaria,6,6,NA,42,37,2,34,37,0,NA,0,5,1,0,Stanislav Harizanov,Stoyan Boev,152,25.333333333333332,1,BGR,84.75,4.2,99.68487,Europe & Central Asia,Upper middle income,0.7000000000000001,3.934929078947369,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,United Kingdom,6,6,NA,39,31,2,33,37,7,NA,1,2,3,0,Dominic Yeo,Freddie Illingworth,149,24.833333333333332,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Taiwan,6,6,NA,40,21,7,39,34,7,NA,1,2,3,0,Yen-Chi Roger Lin,Tzer-Jen Wei,148,24.666666666666668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Kazakhstan,6,6,NA,41,39,1,42,22,1,NA,0,2,4,0,Nursultan Khajimuratov,Gulnur Karimgazhy,146,24.333333333333332,1,KAZ,59.58,3.35,99.68487,Europe & Central Asia,Upper middle income,0.5583333333333333,4.096638493150685,1.89397,NA,NA,NA,NA,NA,NA,NA,NA
2019,Islamic Republic of Iran,6,6,NA,35,38,3,40,27,2,NA,1,2,3,0,Morteza Saghafian,Seyyed Hessam Firouzi,145,24.166666666666668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Canada,6,6,NA,42,16,3,39,42,2,NA,1,1,4,0,Matthew Brennan,Sarah Sun,144,24,1,CAN,72.82,4.77,NA,North America,High income: OECD,0.7949999999999999,NA,NA,NA,74.6698989868164,NA,NA,NA,NA,NA,68413.7942259698
2019,France,6,6,NA,41,9,15,39,38,0,NA,0,2,4,0,Vincent Jugé,Louise Gassot,142,23.666666666666668,1,FRA,67.73,5.35,99.68487,Europe & Central Asia,High income: OECD,0.8916666666666666,4.212036760563381,NA,NA,NA,NA,NA,NA,NA,NA,35746.8989692045
2019,Mongolia,6,4,2,41,27,6,35,32,0,NA,1,1,3,1,Bayarmagnai Gombodorj,Batzaya Gantsooj,141,23.5,0.8333333333333334,MNG,67.63,3.65,98.68928,East Asia & Pacific,Lower middle income,0.73,4.199543829787234,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Italy,6,6,NA,42,36,0,30,31,1,NA,0,2,4,0,Massimo Gobbino,Ludovico Pernazza,140,23.333333333333332,1,ITA,65.69,4.1,100,Europe & Central Asia,High income: OECD,0.6833333333333332,4.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,34399.4020546351
2019,Peru,6,5,1,41,34,0,34,28,0,NA,0,3,1,1,Jesus Zapata,Julio Gutierrez,137,22.833333333333332,0.6666666666666666,PER,NA,3.82,99.12,Latin America & Caribbean,Upper middle income,0.955,4.3410218978102195,NA,NA,NA,8727.50893,8622.4063,NA,17.49129,85.19777,NA
2019,Brazil,6,6,NA,42,21,1,41,30,0,NA,0,2,4,0,Edmilson Motta,Carlos Yuzo Shine,135,22.5,1,BRA,52.62,5.96,99.1,NA,NA,0.9933333333333332,4.404444444444445,NA,NA,81.3693008422852,NA,NA,NA,NA,NA,NA
